Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos.
Estación : MAGUNCHAL
Departamento :,AMAZONAS,Provincia :,UTCUBAMBA,Distrito :,JAMALCA
Latitud :,5°53'23.54'',Longitud :,78°11'19.55'',Altitud :,616 msnm.
Tipo :,EHA - Hidrológica,Código :,472B2370
AÑO / MES / DÍA,HORA,NIVEL DEL RIO (m),PRECIPITACIÓN (mm/hora)
2023/11/02,15:00,S/D,0.0
2023/11/02,16:00,S/D,0.0
2023/11/02,17:00,S/D,0.0
2023/11/02,18:00,S/D,0.0
2023/11/02,19:00,S/D,0.0
2023/11/02,20:00,S/D,0.0
2023/11/02,21:00,S/D,0.0
2023/11/02,22:00,S/D,0.0
2023/11/02,23:00,S/D,0.0
2023/11/03,00:00,S/D,0.0
2023/11/03,01:00,S/D,0.0
2023/11/03,02:00,S/D,0.0
2023/11/03,03:00,S/D,0.0
2023/11/03,04:00,S/D,0.0
2023/11/03,05:00,S/D,0.0
2023/11/03,06:00,S/D,0.0
2023/11/03,07:00,S/D,0.0
2023/11/03,08:00,S/D,0.0
2023/11/03,09:00,S/D,0.0
2023/11/03,11:00,S/D,0.0
2023/11/03,12:00,S/D,0.0
2023/11/03,13:00,S/D,0.0
2023/11/03,15:00,S/D,0.0
2023/11/03,16:00,S/D,0.0
2023/11/03,17:00,S/D,0.0
2023/11/03,18:00,S/D,0.0
2023/11/03,20:00,S/D,0.0
2023/11/03,21:00,S/D,0.0
2023/11/03,22:00,S/D,0.0
2023/11/03,23:00,S/D,0.0
2023/11/04,00:00,S/D,0.0
2023/11/04,01:00,S/D,0.0
2023/11/04,02:00,S/D,0.0
2023/11/04,03:00,S/D,0.0
2023/11/04,04:00,S/D,0.0
2023/11/04,05:00,S/D,0.0
2023/11/04,06:00,S/D,0.0
2023/11/04,07:00,S/D,0.0
2023/11/04,08:00,S/D,0.0
2023/11/04,09:00,S/D,0.0
2023/11/04,10:00,S/D,0.0
2023/11/04,13:00,S/D,0.0
2023/11/04,14:00,S/D,0.0
2023/11/04,15:00,S/D,0.0
2023/11/04,16:00,S/D,0.0
2023/11/04,17:00,S/D,0.1
2023/11/04,19:00,S/D,0.0
2023/11/04,20:00,S/D,0.0
2023/11/04,22:00,S/D,0.0
2023/11/04,23:00,S/D,0.0
