Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : IÑAPARI
Departamento :,MADRE DE DIOS,Provincia :,TAHUAMANU,Distrito :,IÑAPARI
Latitud :,10°57'21.2'',Longitud :,69°34'40.8'',Altitud :,244 msnm.
Tipo :,CO - Meteorológica,Código :,110129
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2020-08-01,S/D,S/D,S/D,S/D
2020-08-02,S/D,S/D,S/D,S/D
2020-08-03,S/D,S/D,S/D,S/D
2020-08-04,S/D,S/D,S/D,S/D
2020-08-05,S/D,S/D,S/D,S/D
2020-08-06,S/D,S/D,S/D,S/D
2020-08-07,S/D,S/D,S/D,S/D
2020-08-08,S/D,S/D,S/D,S/D
2020-08-09,S/D,S/D,S/D,S/D
2020-08-10,S/D,S/D,S/D,S/D
2020-08-11,S/D,S/D,S/D,S/D
2020-08-12,S/D,S/D,S/D,S/D
2020-08-13,S/D,S/D,S/D,S/D
2020-08-14,S/D,S/D,S/D,S/D
2020-08-15,S/D,S/D,S/D,S/D
2020-08-16,S/D,S/D,S/D,S/D
2020-08-17,S/D,S/D,S/D,S/D
2020-08-18,S/D,S/D,S/D,S/D
2020-08-19,S/D,S/D,S/D,S/D
2020-08-20,S/D,S/D,S/D,S/D
2020-08-21,S/D,S/D,S/D,S/D
2020-08-22,S/D,S/D,S/D,S/D
2020-08-23,S/D,S/D,S/D,S/D
2020-08-24,S/D,S/D,S/D,S/D
2020-08-25,S/D,S/D,S/D,S/D
2020-08-26,S/D,S/D,S/D,S/D
2020-08-27,S/D,S/D,S/D,S/D
2020-08-28,S/D,S/D,S/D,S/D
2020-08-29,S/D,S/D,S/D,S/D
2020-08-30,S/D,S/D,S/D,S/D
2020-08-31,S/D,S/D,S/D,S/D
2020-09-01,S/D,S/D,S/D,S/D
